image_stem,width,height,mean_luminance,grayscale_std,gt_count,tp_count,fn_count,fp_count,max_gt_pairwise_iou
001924,1920,1080,131.08514660493827,31.24538636093731,14,13,1,2,0.15120652113121777
001967,1920,1080,125.2580897955247,35.75576938436349,14,14,0,1,0.10025445615552903
001970,1920,1080,125.70828559027778,35.04903471859782,13,13,0,0,0.0206594256893482
002079,1920,1080,128.98904513888888,40.068764479772305,15,14,1,0,0.20206436666492672
002084,1920,1080,128.40129002700618,41.706821794013386,14,14,0,1,0.1940392905060254
002087,1920,1080,126.67631896219136,42.323572182863025,14,14,0,2,0.14087474177957124
002097,1920,1080,125.88763792438272,42.86505071136308,14,14,0,1,0.21744353970575592
002132,1920,1080,103.40193479938272,52.391382508467245,3,2,1,0,0.0
002156,1920,1080,114.77914351851852,51.06760620539057,11,9,2,0,0.3202015116300984
002167,1920,1080,99.90203655478395,81.60045193667194,1,1,0,0,0.0
002185,1920,1080,90.6779759837963,68.05732468571145,1,1,0,1,0.0
002224,1920,1080,112.6723331404321,51.745361965404065,1,1,0,0,0.0
002278,1920,1080,111.26766637731481,57.59886001830904,4,1,3,0,0.08044448591352732
002298,1920,1080,119.96710744598765,71.25517018999531,13,12,1,0,0.0
002318,1920,1080,103.53368393132716,57.26129613069503,3,2,1,3,0.11046813978764147
002326,1920,1080,132.38039882330247,30.86807955496952,14,14,0,3,0.13111729522074447
002327,1920,1080,132.95545958719137,30.065109718448337,13,12,1,3,0.09848534931304362
002338,1920,1080,117.2977874228395,48.495763538049935,6,4,2,0,0.0
002343,1920,1080,112.98708285108025,48.077154592373326,5,4,1,2,0.14431274987693918
002378,1920,1080,131.5500072337963,47.060764832935156,7,6,1,1,0.0
002430,1920,1080,103.68165653935185,35.843816047638654,2,2,0,0,0.005129858301791728
002457,1920,1080,93.71738136574074,53.58490762161615,12,2,10,2,0.057409068051517353
002517,1920,1080,119.93054060570988,77.63203966475827,8,2,6,0,0.29499974023023634
002522,1920,1080,87.26028018904321,74.95952837223057,2,2,0,1,0.0
002542,1920,1080,97.60039351851852,49.08190206953427,2,2,0,0,0.0
002592,1920,1080,94.30366705246914,68.35377294141028,37,27,10,22,0.1270463290260556
002598,1920,1080,96.6928086419753,83.03655320050423,27,18,9,12,0.3909075034321935
002663,1920,1080,109.71629050925925,61.79373707113474,29,19,10,6,0.4152613793116362
002676,1920,1080,95.11232301311729,51.42515916676377,17,15,2,7,0.33619374729775464
002693,1920,1080,115.65267505787037,59.196641863532236,26,18,8,11,0.16903593990771598
002709,1920,1080,119.07598765432098,74.55073698250146,39,24,15,9,0.4338548875607946
